,English,English_cleaned,Spanish,French,German
38,tom should have told me earlier,tom should have told me earlier,Tom debería haberme dicho antes,Tom aurait dû me le dire plus tôt,Tom hätte es mir früher sagen sollen
39,tom shouldn't have married mary,tom should not have married mary,tom no debería haberse casado con mary,Tom n'aurait pas dû épouser Mary,Tom hätte Mary nicht heiraten sollen
40,tom shut the door and locked it,tom shut the door and locked it,tom cerró la puerta y la bloqueó,Tom a fermé la porte et l'a verrouillée,Tom schloss die Tür und verriegelte sie
41,tom speaks french very fluently,tom speaks french very fluently,tom habla francés con mucha fluidez,tom parle très bien le français,Tom spricht sehr fließend Französisch
42,tom spent three weeks in boston,tom spent three weeks in boston,tom pasó tres semanas en boston,tom a passé trois semaines à boston,Tom verbrachte drei Wochen in Boston
43,tom spent three years in prison,tom spent three years in prison,tom pasó tres años en prisión,Tom a passé trois ans en prison,Tom verbrachte drei Jahre im Gefängnis
44,tom stayed in boston a few days,tom stayed in boston a few days,tom se quedó en boston unos días,tom est resté à boston quelques jours,Tom blieb ein paar Tage in Boston
45,tom still doesn't know i'm here,tom still does not know i am here,tom todavía no sabe que estoy aquí,tom ne sait toujours pas que je suis ici,"Tom weiß immer noch nicht, dass ich hier bin"
46,tom still isn't quite convinced,tom still is not quite convinced,tom todavía no está muy convencido,Tom n'est toujours pas tout à fait convaincu,tom ist immer noch nicht ganz überzeugt
47,tom still thinks mary likes him,tom still thinks mary likes him,tom todavía piensa que a mary le gusta,tom pense toujours que mary l'aime bien,"Tom denkt immer noch, dass Mary ihn mag"
48,tom still wants you to help him,tom still wants you to help him,tom todavía quiere que lo ayudes,tom veut toujours que tu l'aides,"Tom möchte immer noch, dass du ihm hilfst"
49,tom struggles with this concept,tom struggles with this concept,tom lucha con este concepto,Tom se débat avec ce concept,Tom kämpft mit diesem Konzept
50,tom suffers from claustrophobia,tom suffers from claustrophobia,tom sufre de claustrofobia,tom souffre de claustrophobie,Tom leidet unter Klaustrophobie
51,tom takes himself too seriously,tom takes himself too seriously,tom se toma demasiado en serio,Tom se prend trop au sérieux,Tom nimmt sich zu ernst
52,tom taught me how to play chess,tom taught me how to play chess,Tom me enseñó a jugar al ajedrez.,Tom m'a appris à jouer aux échecs,"Tom hat mir beigebracht, wie man Schach spielt"
53,tom thought he was going to die,tom thought he was going to die,tom pensó que iba a morir,tom pensait qu'il allait mourir,"Tom dachte, er würde sterben"
54,tom thought that mary loved him,tom thought that mary loved him,tom pensó que mary lo amaba,tom pensait que mary l'aimait,"Tom dachte, dass Mary ihn liebte"
55,tom thought that mary was crazy,tom thought that mary was crazy,tom pensó que mary estaba loca,tom pensait que mary était folle,Tom hielt Mary für verrückt
56,tom thought that you were drunk,tom thought that you were drunk,tom pensó que estabas borracho,Tom pensait que tu étais ivre,"Tom dachte, du wärst betrunken"
57,tom told mary he wasn't married,tom told mary he was not married,tom le dijo a mary que no estaba casado,tom a dit à mary qu'il n'était pas marié,"Tom sagte Mary, er sei nicht verheiratet"
58,tom told mary she had no choice,tom told mary she had no choice,tom le dijo a mary que no tenia opcion,Tom a dit à Mary qu'elle n'avait pas le choix,"Tom sagte Mary, sie habe keine Wahl"
59,tom told mary to tell the truth,tom told mary to tell the truth,tom le dijo a mary que dijera la verdad,tom a dit à mary de dire la vérité,"Tom sagte Maria, sie solle die Wahrheit sagen"
60,tom told mary what had happened,tom told mary what had happened,tom le conto a mary lo que habia pasado,tom a dit à mary ce qui s'était passé,"Tom erzählte Mary, was passiert war"
61,tom told me i looked distracted,tom told me i looked distracted,tom me dijo que parecía distraído,Tom m'a dit que j'avais l'air distrait,"Tom sagte mir, dass ich abgelenkt aussah"
62,tom told me about your concerns,tom told me about your concerns,tom me habló de sus preocupaciones,Tom m'a fait part de vos préoccupations,Tom hat mir von Ihren Bedenken erzählt
63,tom told me he would leave soon,tom told me he would leave soon,tom me dijo que se iría pronto,Tom m'a dit qu'il partirait bientôt,"Tom sagte mir, er würde bald gehen"
64,tom told me not to talk to mary,tom told me not to talk to mary,tom me dijo que no hablara con mary,tom m'a dit de ne pas parler à mary,"Tom hat mir gesagt, ich soll nicht mit Mary reden"
65,tom took a couple of steps back,tom took a couple of steps back,tom dio un par de pasos hacia atrás,tom a reculé de quelques pas,Tom trat ein paar Schritte zurück
66,tom took a taxi to the hospital,tom took a taxi to the hospital,tom tomó un taxi al hospital,Tom a pris un taxi pour aller à l'hôpital,Tom nahm ein Taxi zum Krankenhaus
67,tom tried his best to look busy,tom tried his best to look busy,tom hizo todo lo posible para parecer ocupado,Tom a fait de son mieux pour avoir l'air occupé,"Tom versuchte sein Bestes, um beschäftigt auszusehen"
68,tom tried to hide his addiction,tom tried to hide his addiction,tom trató de ocultar su adicción,Tom a essayé de cacher sa dépendance,"Tom versuchte, seine Sucht zu verbergen"
69,tom tried to sound uninterested,tom tried to sound uninterested,tom trató de sonar desinteresado,Tom a essayé de paraître indifférent,"Tom versuchte, desinteressiert zu klingen"
70,tom waited for mary to continue,tom waited for mary to continue,tom esperó a que mary continuara,Tom a attendu que Mary continue,"Tom wartete darauf, dass Mary fortfuhr"
71,tom wanted mary to learn french,tom wanted mary to learn french,tom quería que mary aprendiera francés,tom voulait que mary apprenne le français,"Tom wollte, dass Mary Französisch lernt"
72,tom wants to ask mary something,tom wants to ask mary something,tom quiere preguntarle algo a mary,tom veut demander quelque chose à marie,Tom möchte Mary etwas fragen
73,tom wants to buy a japanese car,tom wants to buy a japanese car,tom quiere comprar un auto japones,tom veut acheter une voiture japonaise,Tom möchte ein japanisches Auto kaufen
74,tom wants to show you something,tom wants to show you something,tom quiere mostrarte algo,tom veut te montrer quelque chose,Tom möchte dir etwas zeigen
75,tom wants to start from scratch,tom wants to start from scratch,tom quiere empezar de cero,tom veut repartir de zéro,Tom will ganz von vorne anfangen
76,tom wants you to do him a favor,tom wants you to do him a favor,tom quiere que le hagas un favor,tom veut que tu lui rendes service,"Tom möchte, dass du ihm einen Gefallen tust"
77,tom was absent from the meeting,tom was absent from the meeting,tom estuvo ausente de la reunión,Tom était absent de la réunion,Tom war bei der Besprechung abwesend
78,tom was almost three hours late,tom was almost three hours late,tom llegó casi tres horas tarde,tom avait presque trois heures de retard,Tom war fast drei Stunden zu spät
79,tom was beginning to feel tired,tom was beginning to feel tired,tom comenzaba a sentirse cansado,Tom commençait à se sentir fatigué,Tom wurde allmählich müde
80,tom was caught hot-wiring a car,tom was caught hot wiring a car,tom fue atrapado haciendo un cableado en caliente en un automóvil,Tom a été surpris en train de câbler une voiture,Tom wurde beim Heißverkabeln eines Autos erwischt
81,tom was killed in the explosion,tom was killed in the explosion,tom murió en la explosión,tom a été tué dans l'explosion,Tom wurde bei der Explosion getötet
82,tom was late again this morning,tom was late again this morning,tom llegó tarde otra vez esta mañana,Tom était encore en retard ce matin,Tom war heute Morgen wieder zu spät
83,tom was my first real boyfriend,tom was my first real boyfriend,tom fue mi primer novio de verdad,Tom était mon premier vrai petit ami,Tom war mein erster richtiger Freund
84,tom was only three minutes late,tom was only three minutes late,tom solo llegó tres minutos tarde,Tom n'avait que trois minutes de retard,Tom war nur drei Minuten zu spät
85,tom was probably born in boston,tom was probably born in boston,tom probablemente nació en boston,tom est probablement né à boston,Tom wurde wahrscheinlich in Boston geboren
86,tom was sick in bed last sunday,tom was sick in bed last sunday,tom estaba enfermo en la cama el domingo pasado,Tom était malade au lit dimanche dernier,tom lag letzten sonntag krank im bett
87,tom was stretched out on a sofa,tom was stretched out on a sofa,tom estaba estirado en un sofá,Tom était allongé sur un canapé,Tom lag ausgestreckt auf einem Sofa
88,tom was unshaven and disheveled,tom was unshaven and disheveled,tom estaba sin afeitar y despeinado,Tom n'était pas rasé et échevelé,Tom war unrasiert und zerzaust
89,tom was wearing an old lab coat,tom was wearing an old lab coat,tom llevaba una vieja bata de laboratorio,Tom portait une vieille blouse de laboratoire,Tom trug einen alten Laborkittel
90,tom washed the car this morning,tom washed the car this morning,tom lavó el auto esta mañana,tom a lavé la voiture ce matin,Tom hat heute Morgen das Auto gewaschen
91,tom wasn't his usual self today,tom was not his usual self today,tom no era el mismo de siempre hoy,tom n'était pas comme d'habitude aujourd'hui,tom war heute nicht mehr er selbst
92,tom wasn't scared of the police,tom was not scared of the police,tom no le tenía miedo a la policía,Tom n'avait pas peur de la police,Tom hatte keine Angst vor der Polizei
93,tom watches too much television,tom watches too much television,tom ve demasiada television,Tom regarde trop la télévision,Tom sieht zu viel fern
94,tom went abroad to study french,tom went abroad to study french,tom se fue al extranjero a estudiar francés,tom est parti étudier le français à l'étranger,"Tom ging ins Ausland, um Französisch zu lernen"
95,tom went to high school with me,tom went to high school with me,tom fue a la escuela secundaria conmigo,Tom est allé au lycée avec moi,Tom ist mit mir zur High School gegangen
96,tom went to the park by himself,tom went to the park by himself,tom fue al parque solo,Tom est allé au parc tout seul,Tom ging alleine in den Park
97,tom will always be here for you,tom will always be here for you,tom siempre estará aquí para ti,Tom sera toujours là pour toi,Tom wird immer für dich da sein
98,tom will be arriving any moment,tom will be arriving any moment,Tom llegará en cualquier momento.,tom va arriver d'un instant à l'autre,Tom wird jeden Moment eintreffen
99,tom will be here any minute now,tom will be here any minute now,Tom estará aquí en cualquier momento.,Tom sera là d'une minute à l'autre,Tom wird jeden Moment hier sein
100,tom will be in boston next year,tom will be in boston next year,tom estará en boston el próximo año,Tom sera à Boston l'année prochaine,Tom wird nächstes Jahr in Boston sein
101,tom will know what we should do,tom will know what we should do,tom sabrá lo que debemos hacer,Tom saura ce que nous devons faire,"Tom wird wissen, was wir tun sollten"
102,tom will never believe me again,tom will never believe me again,Tom nunca me creerá de nuevo,Tom ne me croira plus jamais,Tom wird mir nie wieder glauben
103,tom wiped his face with a towel,tom wiped his face with a towel,tom se limpió la cara con una toalla,Tom s'est essuyé le visage avec une serviette,Tom wischte sich mit einem Handtuch das Gesicht ab
104,tom won't admit that he's wrong,tom will not admit that he is wrong,tom no admitirá que está equivocado,Tom n'admettra pas qu'il a tort,"Tom wird nicht zugeben, dass er falsch liegt"
105,tom won't tell us what he knows,tom will not tell us what he knows,tom no nos dirá lo que sabe,tom ne nous dira pas ce qu'il sait,"Tom wird uns nicht sagen, was er weiß"
106,tom would never do that to mary,tom would never do that to mary,tom nunca le haría eso a mary,tom ne ferait jamais ça à marie,Tom würde Mary das nie antun
107,tom's computer isn't responding,tom s computer is not responding,la computadora de tom no responde,L'ordinateur de Tom ne répond pas,Toms Computer reagiert nicht
108,tom's family lives in australia,tom s family lives in australia,la familia de tom vive en australia,La famille de Tom vit en Australie,Toms Familie lebt in Australien
109,tom's grandfather couldn't read,tom s grandfather could not read,el abuelo de tom no sabía leer,le grand père de tom ne savait pas lire,Toms Großvater konnte nicht lesen
110,tom's grandmother looks healthy,tom s grandmother looks healthy,la abuela de tom se ve saludable,la grand-mère de tom a l'air en bonne santé,Toms Großmutter sieht gesund aus
111,"tom, someone is here to see you",tom  someone is here to see you,Tom alguien está aquí para verte,tom quelqu'un est là pour te voir,"tom jemand ist hier, um dich zu sehen"
112,tourism generated many new jobs,tourism generated many new jobs,el turismo generó muchos nuevos puestos de trabajo,le tourisme a généré de nombreux nouveaux emplois,Der Tourismus hat viele neue Arbeitsplätze geschaffen
113,travel agencies' profits soared,travel agencies  profits soared,Las ganancias de las agencias de viajes se dispararon,les bénéfices des agences de voyages ont grimpé en flèche,Die Gewinne der Reisebüros stiegen sprunghaft an
114,try to get a good night's sleep,try to get a good night s sleep,trata de dormir bien por la noche,essayez d'avoir une bonne nuit de sommeil,versuche gut zu schlafen
115,try to jump as high as possible,try to jump as high as possible,tratar de saltar lo más alto posible,essayer de sauter le plus haut possible,versuche so hoch wie möglich zu springen
116,try to see how far you can jump,try to see how far you can jump,trata de ver qué tan lejos puedes saltar,essaie de voir jusqu'où tu peux sauter,"Versuchen Sie zu sehen, wie weit Sie springen können"
117,turkey was stronger than greece,turkey was stronger than greece,Turquía fue más fuerte que Grecia,la turquie était plus forte que la grèce,Die Türkei war stärker als Griechenland
118,"turn on the rice cooker, please",turn on the rice cooker  please,enciende la olla arrocera por favor,allumez le cuiseur à riz s'il vous plait,schalten Sie bitte den Reiskocher ein
119,turn right at the second corner,turn right at the second corner,gire a la derecha en la segunda esquina,tourner à droite au deuxième virage,an der zweiten Ecke rechts abbiegen
120,turn the knob and open the door,turn the knob and open the door,gira la perilla y abre la puerta,tournez le bouton et ouvrez la porte,Drehe den Knauf und öffne die Tür
121,twelve divided by three is four,twelve divided by three is four,doce dividido por tres es cuatro,douze divisé par trois font quatre,zwölf geteilt durch drei ist vier
122,two families live in that house,two families live in that house,dos familias viven en esa casa,deux familles vivent dans cette maison,In diesem Haus leben zwei Familien
123,"unfortunately, tom wasn't there",unfortunately  tom was not there,desafortunadamente tom no estaba allí,malheureusement tom n'était pas là,leider war tom nicht da
124,"unfortunately, she lives abroad",unfortunately  she lives abroad,desafortunadamente ella vive en el extranjero,malheureusement elle vit à l'étranger,leider lebt sie im ausland
125,very little is known about them,very little is known about them,se sabe muy poco sobre ellos,on en sait très peu sur eux,sehr wenig ist über sie bekannt
126,vladivostok is a city in russia,vladivostok is a city in russia,vladivostok es una ciudad en rusia,vladivostok est une ville de russie,Wladiwostok ist eine Stadt in Russland
127,wait till the light turns green,wait till the light turns green,espera hasta que la luz se ponga verde,attendre que le feu passe au vert,warten bis die Ampel grün wird
128,"wait, why am i telling you this",wait  why am i telling you this,espera porque te digo esto,attends pourquoi je te dis ça,"Warte, warum erzähle ich dir das"
129,war is a crime against humanity,war is a crime against humanity,la guerra es un crimen contra la humanidad,la guerre est un crime contre l'humanité,Krieg ist ein Verbrechen gegen die Menschlichkeit
130,war may break out at any moment,war may break out at any moment,la guerra puede estallar en cualquier momento,la guerre peut éclater à tout moment,Krieg kann jeden Moment ausbrechen
131,was this letter written by mary,was this letter written by mary,fue esta carta escrita por mary,Cette lettre était-elle écrite par Marie,wurde dieser Brief von Mary geschrieben
132,we advertise our products on tv,we advertise our products on tv,anunciamos nuestros productos en tv,nous annonçons nos produits à la télévision,Wir bewerben unsere Produkte im Fernsehen
133,we all have different abilities,we all have different abilities,todos tenemos habilidades diferentes,nous avons tous des capacités différentes,wir alle haben unterschiedliche fähigkeiten
134,we all have different strengths,we all have different strengths,todos tenemos diferentes fortalezas,nous avons tous des forces différentes,wir alle haben unterschiedliche stärken
135,we all know that tom didn't win,we all know that tom did not win,todos sabemos que tom no gano,nous savons tous que tom n'a pas gagné,"Wir alle wissen, dass Tom nicht gewonnen hat"
136,"we are all alike, on the inside",we are all alike  on the inside,todos somos iguales por dentro,nous sommes tous pareils à l'intérieur,innerlich sind wir alle gleich
137,we are in a difficult situation,we are in a difficult situation,estamos en una situacion dificil,nous sommes dans une situation difficile,wir befinden uns in einer schwierigen Situation
138,we are leaving japan next month,we are leaving japan next month,nos vamos de japón el próximo mes,nous quittons le japon le mois prochain,Wir verlassen Japan nächsten Monat
139,we are pretty much in agreement,we are pretty much in agreement,estamos bastante de acuerdo,nous sommes à peu près d'accord,da sind wir uns ziemlich einig
140,we asked him what he was called,we asked him what he was called,le preguntamos como se llamaba,nous lui avons demandé comment il s'appelait,"wir haben ihn gefragt, wie er heißt"
141,we ate fresh fruit after dinner,we ate fresh fruit after dinner,comimos fruta fresca después de la cena,nous avons mangé des fruits frais après le dîner,Wir haben nach dem Abendessen frisches Obst gegessen
142,we ate sandwiches for breakfast,we ate sandwiches for breakfast,desayunamos bocadillos,nous avons mangé des sandwichs au petit déjeuner,Wir aßen Sandwiches zum Frühstück
143,we avoid talking about politics,we avoid talking about politics,evitamos hablar de política,on évite de parler politique,"Wir vermeiden es, über Politik zu sprechen"
144,we bought a new washing machine,we bought a new washing machine,compramos una lavadora nueva,nous avons acheté une nouvelle machine à laver,wir haben eine neue Waschmaschine gekauft
145,we can depend on her to help us,we can depend on her to help us,podemos depender de ella para que nos ayude,nous pouvons compter sur elle pour nous aider,"wir können uns darauf verlassen, dass sie uns hilft"
146,we can see his house over there,we can see his house over there,podemos ver su casa por allá,on peut voir sa maison là-bas,wir können sein Haus dort drüben sehen
147,we can't do anything about that,we cannot do anything about that,no podemos hacer nada al respecto,nous ne pouvons rien y faire,dafür können wir nichts
148,we can't get close to the enemy,we cannot get close to the enemy,no podemos acercarnos al enemigo,on ne peut pas s'approcher de l'ennemi,Wir können dem Feind nicht nahe kommen
149,we can't predict what'll happen,we cannot predict what will happen,no podemos predecir lo que sucederá,on ne peut pas prédire ce qui va arriver,"wir können nicht vorhersagen, was passieren wird"
150,we can't see mt fuji from here,we cannot see mt fuji from here,no podemos ver el monte fuji desde aquí,nous ne pouvons pas voir le mont fuji d'ici,wir können von hier aus den mt fuji nicht sehen
151,we can't tell anyone about this,we cannot tell anyone about this,no podemos decirle a nadie sobre esto,nous ne pouvons en parler à personne,wir können niemandem davon erzählen
152,we can't use cellphones in here,we cannot use cellphones in here,no podemos usar teléfonos celulares aquí,nous ne pouvons pas utiliser de téléphones portables ici,Wir können hier keine Handys benutzen
153,we could ask tom what he thinks,we could ask tom what he thinks,podríamos preguntarle a tom qué piensa,on pourrait demander à tom ce qu'il en pense,"Wir könnten Tom fragen, was er denkt"
154,we decorated the room ourselves,we decorated the room ourselves,nosotros mismos decoramos la habitación,nous avons décoré la chambre nous-mêmes,Wir haben das Zimmer selbst dekoriert
155,we didn't reach any conclusions,we did not reach any conclusions,no llegamos a ninguna conclusión,nous n'avons tiré aucune conclusion,wir sind zu keinem Ergebnis gekommen
156,we divided the money between us,we divided the money between us,dividimos el dinero entre nosotros,nous avons partagé l'argent entre nous,Wir haben das Geld unter uns aufgeteilt
157,we don't even know if it's true,we do not even know if it is true,ni siquiera sabemos si es verdad,on ne sait même pas si c'est vrai,"wir wissen nicht einmal, ob es wahr ist"
158,we don't get many visitors here,we do not get many visitors here,no recibimos muchos visitantes aquí,nous n'avons pas beaucoup de visiteurs ici,wir bekommen hier nicht viele Besucher
159,we don't have classes next week,we do not have classes next week,no tenemos clases la proxima semana,nous n'avons pas cours la semaine prochaine,Wir haben nächste Woche keinen Unterricht
160,"we eat to live, not live to eat",we eat to live  not live to eat,comemos para vivir no vivimos para comer,on mange pour vivre pas vivre pour manger,"wir essen um zu leben, nicht leben um zu essen"
161,we found footprints in the sand,we found footprints in the sand,encontramos huellas en la arena,nous avons trouvé des empreintes de pas dans le sable,Wir fanden Fußspuren im Sand
162,we gave blood to help the child,we gave blood to help the child,donamos sangre para ayudar al niño,nous avons donné du sang pour aider l'enfant,"Wir haben Blut gespendet, um dem Kind zu helfen"
163,we had a lot of rain last month,we had a lot of rain last month,llovió mucho el mes pasado,nous avons eu beaucoup de pluie le mois dernier,wir hatten letzten Monat viel Regen
164,we had a lot of snow last night,we had a lot of snow last night,tuvimos mucha nieve anoche,nous avons eu beaucoup de neige la nuit dernière,wir hatten letzte nacht viel schnee
165,we had an earthquake last night,we had an earthquake last night,tuvimos un terremoto anoche,nous avons eu un tremblement de terre la nuit dernière,wir hatten letzte Nacht ein Erdbeben
166,we had fine weather on that day,we had fine weather on that day,tuvimos buen tiempo ese día,nous avons eu beau temps ce jour-là,Wir hatten an diesem Tag schönes Wetter
167,we had to walk home in the rain,we had to walk home in the rain,tuvimos que caminar a casa bajo la lluvia,nous avons dû rentrer à pied sous la pluie,Wir mussten im Regen nach Hause laufen
168,we have a busy week ahead of us,we have a busy week ahead of us,tenemos una semana ocupada por delante,nous avons une semaine chargée devant nous,wir haben eine arbeitsreiche Woche vor uns
169,we have a cat we all love cats,we have a cat we all love cats,tenemos un gato todos amamos a los gatos,nous avons un chat nous aimons tous les chats,"Wir haben eine Katze, wir alle lieben Katzen"
170,we have a few questions for you,we have a few questions for you,tenemos algunas preguntas para usted,nous avons quelques questions pour vous,Wir haben ein paar Fragen an Sie
171,we have a long trip ahead of us,we have a long trip ahead of us,tenemos un largo viaje por delante,nous avons un long voyage devant nous,wir haben eine lange Reise vor uns
172,we have an unusual relationship,we have an unusual relationship,tenemos una relación inusual,nous avons une relation inhabituelle,Wir haben eine ungewöhnliche Beziehung
173,we have lunch at noon every day,we have lunch at noon every day,almorzamos al mediodía todos los días,nous déjeunons tous les jours à midi,Wir essen jeden Tag mittags zu Mittag
174,we have no comment at this time,we have no comment at this time,no tenemos comentarios en este momento,nous n'avons pas de commentaire pour le moment,Wir haben derzeit keinen Kommentar
175,we have nothing to be afraid of,we have nothing to be afraid of,no tenemos nada que temer,nous n'avons rien à craindre,wir haben nichts zu befürchten
176,we have plenty of time to spare,we have plenty of time to spare,tenemos mucho tiempo de sobra,nous avons beaucoup de temps à perdre,wir haben viel Zeit zu erübrigen
177,we have three boys and one girl,we have three boys and one girl,tenemos tres niños y una niña,nous avons trois garçons et une fille,wir haben drei Jungs und ein Mädchen
178,we have to address that problem,we have to address that problem,tenemos que abordar ese problema,nous devons résoudre ce problème,wir müssen dieses Problem angehen
179,we have to deal with that first,we have to deal with that first,tenemos que lidiar con eso primero,nous devons d'abord nous en occuper,damit müssen wir uns erstmal auseinandersetzen
180,we have to do this by ourselves,we have to do this by ourselves,tenemos que hacer esto por nosotros mismos,nous devons le faire nous-mêmes,das müssen wir selbst machen
181,we have to get tom out of there,we have to get tom out of there,tenemos que sacar a tom de ahí,nous devons faire sortir tom de là,Wir müssen Tom da rausholen
182,we have to get something to eat,we have to get something to eat,tenemos que conseguir algo de comer,il faut qu'on mange quelque chose,wir müssen etwas zu essen besorgen
183,we have to keep working on that,we have to keep working on that,tenemos que seguir trabajando en eso,nous devons continuer à travailler là-dessus,daran müssen wir weiter arbeiten
184,we have to learn how to do that,we have to learn how to do that,tenemos que aprender a hacer eso,nous devons apprendre à faire ça,"wir müssen lernen, wie das geht"
185,we have to make sure we do that,we have to make sure we do that,tenemos que asegurarnos de hacer eso,nous devons nous assurer de le faire,"wir müssen sicherstellen, dass wir das tun"
